time,ir,red,green,gyro,spo2,hr,temp
16:41:53:580,110999,100070,8227,0,0,0,0
16:41:53:600,111044,100075,8247,0,0,0,0
16:41:53:620,111073,100081,8234,0,0,0,0
16:41:53:640,111086,100075,8251,0,0,0,0
16:41:53:660,111138,100089,8240,0,0,0,0
16:41:53:680,111185,100100,8246,0,0,0,0
16:41:53:700,111237,100111,8261,0,0,0,0
16:41:53:720,111246,100121,8248,0,0,0,0
16:41:53:740,111216,100099,8265,0,0,0,0
16:41:53:760,111222,100120,8286,0,0,0,0
16:41:53:780,111180,100088,8248,0,0,0,0
16:41:53:800,111218,100109,8279,0,0,0,0
16:41:53:820,111228,100084,8265,0,0,8,0
16:41:54:064,111257,100114,8263,1,0,0,0
16:41:54:084,111274,100112,8263,1,0,0,0
16:41:54:104,111327,100127,8277,1,0,0,0
16:41:54:124,111317,100116,8257,1,0,0,0
16:41:54:144,111336,100109,8279,1,0,0,0
16:41:54:164,111345,100123,8267,1,0,0,0
16:41:54:184,111344,100122,8268,1,0,0,0
16:41:54:204,111386,100139,8257,1,0,0,0
16:41:54:224,111393,100144,8266,1,0,0,0
16:41:54:244,111410,100150,8287,1,0,0,0
16:41:54:264,111432,100145,8274,1,0,0,0
16:41:54:284,111430,100136,8273,1,0,0,0
16:41:54:304,111475,100161,8308,1,0,0,0
16:41:54:324,111477,100163,8277,1,0,0,0
16:41:54:344,111531,100171,8294,1,0,0,0
16:41:54:364,111528,100179,8279,1,0,0,0
16:41:54:384,111527,100157,8303,1,0,0,0
16:41:54:404,111541,100166,8302,1,0,0,0
16:41:54:424,111480,100146,8276,1,0,0,0
16:41:54:444,111327,100100,8290,1,0,0,0
16:41:54:464,111100,100033,8265,1,0,0,0
16:41:54:484,110798,99945,8270,1,0,0,0
16:41:54:504,110666,99916,8249,1,0,0,0
16:41:54:524,110661,99899,8254,1,0,0,0
16:41:54:544,110772,99941,8275,1,0,0,0
16:41:54:564,110842,99962,8258,1,0,0,0
16:41:54:584,110934,99981,8285,1,0,0,0
16:41:54:604,110979,99999,8273,1,0,0,0
16:41:54:624,110960,99977,8301,1,0,0,0
16:41:54:644,111052,100023,8283,1,0,0,0
16:41:54:664,111092,100023,8264,1,0,0,0
16:41:54:684,111152,100025,8291,1,0,0,0
16:41:54:704,111179,100056,8287,1,0,0,0
16:41:54:724,111182,100017,8292,1,0,0,0
16:41:54:744,111184,100061,8300,1,0,0,0
16:41:54:764,111144,100038,8287,1,0,0,0
16:41:54:784,111167,100040,8305,1,0,0,0
16:41:54:804,111171,100051,8283,1,0,0,0
16:41:54:824,111187,100036,8310,1,0,0,0
16:41:54:844,111247,100062,8308,1,0,0,0
16:41:54:864,111240,100051,8293,1,0,0,0
16:41:54:884,111270,100061,8312,1,0,0,0
16:41:54:904,111298,100067,8303,1,0,0,0
16:41:54:924,111338,100077,8317,1,0,0,0
16:41:54:944,111372,100099,8335,1,0,0,0
16:41:54:964,111366,100091,8305,1,0,0,0
16:41:54:984,111403,100099,8318,1,0,0,0
16:41:55:004,111388,100092,8298,1,0,0,0
16:41:55:024,111444,100099,8327,1,0,0,0
16:41:55:044,111460,100095,8315,1,0,0,0
16:41:55:064,111477,100095,8327,1,0,0,0
16:41:55:084,111522,100122,8329,1,0,0,0
16:41:55:104,111515,100116,8301,1,0,0,0
16:41:55:124,111551,100119,8340,1,0,0,0
16:41:55:144,111565,100139,8318,1,0,0,0
16:41:55:164,111566,100109,8315,1,0,0,0
16:41:55:184,111596,100148,8333,1,0,0,0
16:41:55:204,111560,100124,8323,1,0,0,0
16:41:55:224,111569,100123,8336,1,0,0,0
16:41:55:244,111401,100084,8326,1,0,0,0
16:41:55:264,111174,99999,8327,1,0,0,0
16:41:55:284,110980,99952,8311,1,0,0,0
16:41:55:304,110796,99896,8296,1,0,0,0
16:41:55:324,110793,99908,8306,1,0,0,0
16:41:55:344,110844,99919,8294,1,0,0,0
16:41:55:364,110918,99922,8315,1,0,0,0
16:41:55:384,111009,99960,8317,1,0,0,0
16:41:55:404,111027,99950,8310,1,0,0,0
16:41:55:424,111082,99971,8327,1,0,0,0
16:41:55:444,111090,99975,8317,1,0,0,0
16:41:55:464,111156,99983,8335,1,0,0,0
16:41:55:484,111179,100005,8318,1,0,0,0
16:41:55:504,111228,99986,8326,1,0,0,0
16:41:55:524,111234,100019,8331,1,0,0,0
16:41:55:544,111185,100005,8308,1,0,0,0
16:41:55:564,111198,100001,8334,1,0,0,0
16:41:55:584,111154,99973,8323,1,0,0,0
16:41:55:604,111175,99977,8336,1,0,0,0
16:41:55:624,111188,99999,8329,1,0,0,0
16:41:55:644,111174,100006,8311,1,0,0,0
16:41:55:664,111233,99987,8343,1,0,0,0
16:41:55:684,111249,100010,8326,1,0,0,0
16:41:55:704,111253,99987,8346,1,0,0,0
16:41:55:724,111317,100020,8340,1,0,0,0
16:41:55:744,111323,100004,8327,1,0,0,0
16:41:55:764,111367,100024,8356,1,0,0,0
16:41:55:784,111350,100027,8339,1,0,0,0
16:41:55:804,111364,100015,8349,1,0,0,0
16:41:55:824,111362,100016,8338,1,0,0,0
16:41:55:844,111327,99995,8343,1,0,0,0
16:41:55:864,111364,100024,8349,1,0,0,0
16:41:55:884,111384,100019,8335,1,0,0,0
16:41:55:904,111414,100016,8359,1,0,0,0
16:41:55:924,111397,100022,8338,1,0,0,0
16:41:55:944,111367,99995,8350,1,0,0,0
16:41:55:964,111382,100014,8357,1,0,0,0
16:41:55:984,111357,100010,8341,1,0,0,0
16:41:56:004,111373,99992,8359,1,0,0,0
16:41:56:024,111312,99993,8339,1,0,0,0
16:41:56:044,111165,99922,8343,1,0,0,0
16:41:56:064,110858,99880,8320,1,0,0,0
16:41:56:084,110243,99658,8262,1,0,0,0
16:41:56:104,109717,99509,8226,1,0,0,0
16:41:56:124,109415,99405,8181,1,0,0,0
16:41:56:144,109366,99380,8183,1,0,0,0
16:41:56:164,109438,99432,8181,1,0,0,0
16:41:56:184,109500,99437,8182,1,0,0,0
16:41:56:204,109644,99501,8215,1,0,0,0
16:41:56:224,109699,99537,8195,1,0,0,0
16:41:56:244,109733,99520,8217,1,0,0,0
16:41:56:264,109797,99559,8232,1,0,0,0
16:41:56:284,109909,99572,8238,1,0,0,0
16:41:56:304,110069,99642,8251,1,0,0,0
16:41:56:324,110141,99670,8246,1,0,0,0
16:41:56:344,110133,99646,8265,1,0,0,0
16:41:56:364,110084,99656,8250,1,0,0,0
16:41:56:384,110035,99619,8256,1,0,0,0
16:41:56:404,110022,99638,8256,1,0,0,0
16:41:56:424,110014,99625,8240,1,0,0,0
16:41:56:444,110012,99606,8262,1,0,0,0
16:41:56:464,110077,99632,8260,1,0,0,0
16:41:56:484,110138,99642,8273,1,0,0,0
16:41:56:504,110259,99699,8278,1,0,0,0
16:41:56:524,110334,99717,8271,1,0,0,0
16:41:56:544,110397,99720,8296,1,0,0,0
16:41:56:564,110403,99729,8273,1,0,0,0
16:41:56:584,110402,99723,8282,1,0,0,0
16:41:56:604,110434,99737,8294,1,0,0,0
16:41:56:624,110461,99748,8284,1,0,0,0
16:41:56:644,110527,99776,8304,1,0,0,0
16:41:56:664,110527,99773,8270,1,0,0,0
16:41:56:684,110569,99762,8320,1,0,0,0
16:41:56:704,110598,99773,8310,1,0,0,0
16:41:56:724,110634,99783,8308,1,0,0,0
16:41:56:744,110690,99817,8315,1,0,0,0
16:41:56:764,110761,99827,8298,1,0,0,0
16:41:56:784,110754,99802,8323,1,0,0,0
16:41:56:804,110766,99814,8322,1,0,0,0
16:41:56:824,110768,99815,8327,1,0,0,0
16:41:56:844,110739,99838,8326,1,0,0,0
16:41:56:864,110446,99730,8294,1,0,0,0
16:41:56:884,109953,99569,8271,1,0,0,0
16:41:56:904,109516,99433,8214,1,0,0,0
16:41:56:924,109273,99340,8202,1,0,0,0
16:41:56:944,109269,99346,8205,1,0,0,0
16:41:56:964,109368,99382,8197,1,0,0,0
16:41:56:984,109518,99452,8243,1,0,0,0
16:41:57:004,109695,99502,8237,1,0,0,0
16:41:57:024,109757,99516,8268,1,0,0,0
16:41:57:044,109837,99537,8266,1,0,0,0
16:41:57:064,109888,99558,8258,1,0,0,0
16:41:57:084,110044,99610,8302,1,0,0,0
16:41:57:104,110183,99656,8274,1,0,0,0
16:41:57:124,110264,99658,8313,1,0,0,0
16:41:57:144,110285,99682,8308,1,0,0,0
16:41:57:164,110274,99654,8301,1,0,0,0
16:41:57:184,110296,99678,8315,1,0,0,0
16:41:57:204,110293,99674,8285,1,0,0,0
16:41:57:224,110323,99671,8324,1,0,0,0
16:41:57:244,110369,99691,8322,1,0,0,0
16:41:57:264,110404,99698,8314,1,0,0,0
16:41:57:284,110469,99721,8324,1,0,0,0
16:41:57:304,110506,99740,8314,1,0,0,0
16:41:57:324,110619,99754,8336,1,0,0,0
16:41:57:344,110664,99779,8333,1,0,0,0
16:41:57:364,110687,99773,8343,1,0,0,0
16:41:57:384,110764,99799,8349,1,0,0,0
16:41:57:404,110781,99793,8345,1,0,0,0
16:41:57:424,110834,99823,8366,1,0,0,0
16:41:57:444,110858,99825,8354,1,0,0,0
16:41:57:464,110891,99805,8367,1,0,0,0
16:41:57:484,110921,99832,8375,1,0,0,0
16:41:57:504,110945,99823,8356,1,0,0,0
16:41:57:524,110982,99857,8397,1,0,0,0
16:41:57:544,111059,99868,8360,1,0,0,0
16:41:57:564,111084,99862,8393,1,0,0,0
16:41:57:584,111133,99888,8377,1,0,0,0
16:41:57:604,111148,99887,8375,1,0,0,0
16:41:57:624,111182,99902,8385,1,0,0,0
16:41:57:644,111181,99894,8376,1,0,0,0
16:41:57:664,111127,99878,8389,1,0,0,0
16:41:57:684,110943,99846,8374,1,0,0,0
16:41:57:704,110569,99719,8358,1,0,0,0
16:41:57:724,110244,99623,8337,1,0,0,0
16:41:57:744,109998,99555,8302,1,0,0,0
16:41:57:764,110023,99556,8318,1,0,0,0
