time,ir,red,hr,spo2,temp
162629219,9173,4144,null,0,0
162629239,9117,4155,null,0,0
162629258,9323,4251,null,0,0
162629280,9209,4177,null,0,0
162629318,9152,4158,null,0,0
162629338,9294,4266,null,0,0
162629359,9255,4199,null,0,0
162629378,9170,4156,null,0,0
162629419,9293,4271,null,0,0
162629445,9261,4197,null,0,0
162629470,9228,4186,null,0,0
162629523,9356,4371,null,0,0
162629545,9406,4318,null,0,0
162629563,9360,4256,null,0,0
162629585,9473,4380,null,0,0
162629603,9458,4356,null,0,0
162629642,9450,4353,null,0,0
162629661,9454,4369,null,0,0
162629682,9434,4298,null,0,0
162629700,9461,4387,null,0,0
162629721,9500,4380,null,0,0
162629760,9472,4330,null,0,0
162629780,9435,4352,null,0,0
162629801,9494,4373,null,0,0
162629820,9458,4331,null,0,0
162629860,9427,4416,null,0,0
162629881,9515,4384,null,0,0
162629901,9475,4330,null,0,0
162629922,9483,4422,null,0,0
162629941,9536,4402,null,0,0
162629983,9505,4427,null,0,0
162630006,9547,4418,null,0,0
162630025,9517,4344,null,0,0
162630047,9506,4409,null,0,0
162630084,9556,4418,null,0,0
162630105,9515,4373,null,0,0
162630124,9430,4386,null,0,0
162630145,9503,4435,null,0,0
162630164,9566,4427,null,0,0
162630203,9494,4324,null,0,0
162630224,9521,4430,null,0,0
162630243,9576,4433,null,0,0
162630264,9448,4390,null,0,0
162630283,9516,4447,null,0,0
162630322,9565,4470,null,0,0
162630343,9640,4469,null,0,0
162630363,9545,4339,null,0,0
162630384,9595,4474,null,0,0
162630403,9691,4488,null,0,0
162630442,9593,4412,null,0,0
162630461,9646,4514,null,0,0
162630494,9710,4507,null,0,0
162630561,9533,4369,null,0,0
162630581,1929,500,null,0,0
162630608,8581,3805,null,0,0
162630647,8542,3791,null,0,0
162630666,8727,3975,null,0,0
162630687,8527,3879,null,0,0
162630706,8527,3879,null,0,0
162630745,9510,4341,null,0,0
162630767,9481,4320,null,0,0
162630785,9372,4355,null,0,0
162630807,9475,4319,null,0,0
162630826,9393,4281,null,0,0
162630864,9373,4359,null,0,0
162630884,9452,4321,null,0,0
162630904,9387,4275,null,0,0
162630923,9629,4477,null,0,0
162630944,9486,4345,null,0,0
162630982,9515,4440,null,0,0
162631003,9505,4359,null,0,0
162631026,9525,4448,null,0,0
162631045,9612,4481,null,0,0
