time,ir,red,green,spo2,hr,temp
10:00:06,1030,277,192,277,192,0
10:00:06,887,612,231,612,231,0
10:00:06,1025,150,0,150,0,0
10:00:06,970,570,106,570,106,0
10:00:06,876,527,125,527,125,0
10:00:07,1055,169,174,169,174,0
10:00:07,899,616,142,616,142,0
10:00:07,760,582,173,582,173,0
10:00:07,977,172,187,172,187,0
10:00:07,930,0,101,0,101,0
10:00:07,982,346,138,346,138,0
10:00:07,972,362,72,362,72,0
10:00:07,0,586,147,586,147,0
10:00:07,676,0,53,0,53,0
10:00:07,819,216,0,216,0,0
10:00:07,945,303,147,303,147,0
10:00:07,991,482,20,482,20,0
10:00:07,891,729,101,729,101,0
10:00:08,759,585,171,585,171,0
10:00:08,1072,347,121,347,121,0
10:00:08,985,496,76,496,76,0
10:00:08,965,421,95,421,95,0
10:00:08,994,434,109,434,109,0
10:00:08,711,0,16,0,16,0
10:00:08,975,587,78,587,78,0
10:00:08,807,182,120,182,120,0
10:00:08,851,559,69,559,69,0
10:00:08,986,406,0,406,0,0
10:00:08,861,437,156,437,156,0
10:00:08,886,237,88,237,88,0
10:00:08,878,495,243,495,243,0
10:00:09,802,355,115,355,115,0
10:00:09,890,390,316,390,316,0
10:00:09,893,578,150,578,150,0
10:00:09,1040,324,181,324,181,0
10:00:09,750,490,0,490,0,0
10:00:09,975,474,0,474,0,0
10:00:09,993,498,193,498,193,0
10:00:09,938,533,60,533,60,0
10:00:09,959,554,251,554,251,0
10:00:09,793,285,197,285,197,0
10:00:09,862,753,179,753,179,0
10:00:09,868,312,164,312,164,0
10:00:10,882,242,0,242,0,0
10:00:10,0,641,0,641,0,0
10:00:10,874,146,0,146,0,0
10:00:10,912,412,101,412,101,0
10:00:10,883,398,214,398,214,0
10:00:10,994,602,231,602,231,0
10:00:10,968,381,238,381,238,0
10:00:10,940,368,0,368,0,0
10:00:10,985,612,201,612,201,0
10:00:10,850,318,123,318,123,0
10:00:10,973,0,139,0,139,0
10:00:10,790,33,147,33,147,0
10:00:10,912,121,135,121,135,0
10:00:11,896,302,162,302,162,0
10:00:11,875,322,17,322,17,0
10:00:11,1030,277,192,277,192,0
10:00:11,941,856,132,856,132,0
10:00:11,1025,150,0,150,0,0
10:00:11,982,341,246,341,246,0
10:00:11,876,527,125,527,125,0
10:00:11,1064,470,164,470,164,0
10:00:11,899,616,142,616,142,0
