time,ir,red,green,spo2,hr,temp
13:44:43:704,9434,13553,896,0,0,0
13:44:43:727,10656,15314,1053,0,0,0
13:44:43:749,17139,24802,1788,0,0,0
13:44:43:772,17476,25377,1813,0,0,0
13:44:43:795,15523,22569,1560,0,0,0
13:44:43:817,15055,21749,1537,0,0,0
13:44:43:840,18059,25468,1894,0,0,0
13:44:43:863,23424,32267,2519,0,0,0
13:44:43:886,41533,50486,3324,0,0,0
13:44:43:908,42615,50610,3280,0,0,0
13:44:43:931,37106,46371,2912,0,0,0
13:44:43:954,37026,45585,2948,0,0,0
13:44:43:976,47121,53864,3442,0,0,0
13:44:43:999,54301,58510,3684,0,0,0
13:44:44:022,60016,60810,4096,0,0,0
13:44:44:045,61548,61559,4295,0,0,0
13:44:44:067,62426,61939,4447,0,0,0
13:44:44:090,62907,62118,4545,0,0,0
13:44:44:113,63040,62144,4609,0,0,0
13:44:44:135,62837,62049,4592,0,0,0
13:44:44:158,62149,61794,4509,0,0,0
13:44:44:181,61904,61730,4479,0,0,0
13:44:44:204,61749,61708,4459,0,0,0
13:44:44:226,61857,61849,4460,0,0,0
13:44:44:249,62609,62271,4488,0,0,0
13:44:44:272,63508,62701,4564,0,0,0
13:44:44:295,64574,63132,4716,0,0,0
13:44:44:317,64873,63239,4767,0,0,0
13:44:44:340,65072,63306,4823,0,0,0
13:44:44:363,65229,63390,4870,0,0,0
13:44:44:385,65328,63424,4920,0,0,0
13:44:44:408,65445,63459,4982,0,0,0
13:44:44:431,65609,63513,5119,0,0,0
13:44:44:454,65439,63532,5183,0,0,0
13:44:44:476,65482,63517,5238,0,0,0
13:44:44:499,65547,63536,5307,0,0,0
13:44:44:522,65616,63558,5355,0,0,0
13:44:44:544,65671,63543,5424,0,0,0
13:44:44:567,65713,63548,5522,0,0,0
13:44:44:590,65739,63551,5571,0,0,0
13:44:44:613,65745,63530,5603,0,0,0
13:44:44:635,65769,63533,5650,0,0,0
13:44:44:658,65800,63538,5689,0,0,0
13:44:44:681,65838,63495,5730,0,0,0
